team,minutos_por_partido,jugadores,ws_medio
NOP,"22,64",34,"2,14"
BRK,"22,35",45,"2,41"
LAC,"21,91",41,"3,19"
NYK,"21,88",40,"3,29"
MIA,"21,8",40,"2,82"
IND,"21,65",39,"2,65"
OKC,"21,54",38,"2,72"
POR,"21,32",44,"1,75"
PHO,"21,22",44,"3,11"
CHO,"21,21",36,"1,69"
TOR,"21,09",46,"2,29"
CLE,"21,05",45,"2,9"
LAL,"21,05",51,"2,63"
DET,"20,94",49,"1,57"
ATL,"20,82",39,"2,68"
MEM,"20,78",36,"2,66"
GSW,"20,77",36,"3,15"
MIL,"20,76",40,"3,19"
ORL,"20,65",32,"1,99"
PHI,"20,62",57,"2,66"
BOS,"20,54",38,"3,6"
WAS,"20,54",45,"1,5"
SAS,"20,54",38,"2,0"
UTA,"20,38",46,"2,42"
HOU,"20,28",36,"1,98"
CHI,"20,03",40,"2,37"
MIN,"20,02",37,"2,92"
DAL,"19,61",35,"2,46"
SAC,"19,43",46,"2,51"
DEN,"18,78",37,"2,3"
