player,temporadas,minutos_por_partido,minutos_totales,ws_medio,edad_actual
Stephen Curry,5,"33,66","2195,4","7,98",36
Jimmy Butler,1,"31,7","1746,0","8,7",35
Andrew Wiggins,4,"31,1","1950,75","3,52",28
Klay Thompson,3,"30,7","1834,67","2,83",33
Draymond Green,5,"29,64","1816,2","4,04",34
Brandin Podziemski,2,"26,7","1842,0","4,15",21
Jordan Poole,3,"26,47","1909,67","3,7",23
Chris Paul,1,"26,4","1531,0","4,3",38
Donte DiVincenzo,1,"26,3","1894,0","4,2",26
Buddy Hield,1,"22,7","1863,0","2,8",32
Jonathan Kuminga,4,"22,08","1418,0","2,98",22
James Wiseman,1,"21,4","836,0","0,7",19
Kent Bazemore,1,"19,9","1333,0","1,8",31
Andre Iguodala,1,"19,5","603,0","1,6",38
Damion Lee,2,"19,4","1167,5","2,7",29
Anthony Lamb,1,"19,3","1195,0","2,4",25
Kevon Looney,5,"19,02","1437,6","5,44",28
Ty Jerome,1,"18,1","816,0","2,1",25
Eric Paschall,1,"17,4","695,0","0,9",24
Juan Toscano-Anderson,2,"17,25","1050,5","2,5",28
Quinten Post,1,"16,3","686,0","1,7",24
Moses Moody,4,"16,12","1057,25","2,12",22
Nemanja Bjelica,1,"16,1","1142,0","3,0",33
Trayce Jackson-Davis,2,"16,1","1048,5","4,1",24
JaMychal Green,1,"14,0","797,0","2,2",32
Gary Payton II,5,"13,76","652,2","2,26",32
Mychal Mulder,1,"12,8","766,0","1,2",26
Nico Mannion,1,"12,1","364,0","0,2",19
Cory Joseph,1,"11,4","296,0","0,2",32
Gui Santos,2,"10,95","477,0","1,2",22
Chris Chiozza,1,"10,9","372,0","0,0",26
Quinndary Weatherspoon,1,"6,6","73,0","0,2",25
Pat Spencer,1,"6,4","250,0","0,3",28
Kevin Knox,1,"6,0","84,0","0,2",25
Ryan Rollins,1,"5,2","62,0","-0,3",20
Jerome Robinson,1,"3,7","81,0","-0,1",26
