player,season,team,pos,age,minutos_totales,partidos_totales,minutos_por_partido,ws,per
Kobe Bryant,2010,LAL,SG,31,"2835,0","73,0","38,8","9,4","21,9"
Jermaine O'Neal,2010,MIA,C,31,"1991,0","70,0","28,4","5,6","17,9"
Tracy McGrady,2010,NYK,SG,30,"673,0","30,0","22,4","0,3","12,2"
Tim Duncan,2010,SAS,C,33,"2438,0","78,0","31,3","10,9","24,7"
Shaquille O'Neal,2010,CLE,C,37,"1240,0","53,0","23,4","3,1","17,9"
Dirk Nowitzki,2010,DAL,PF,31,"3039,0","81,0","37,5","12,3","22,9"
Paul Pierce,2010,BOS,SF,32,"2411,0","71,0","34,0","8,3","18,2"
Ray Allen,2010,BOS,SG,34,"2819,0","80,0","35,2","7,9","15,2"
Rashard Lewis,2010,ORL,PF,30,"2369,0","72,0","32,9","6,5","14,0"
Michael Redd,2010,MIL,SG,30,"492,0","18,0","27,3","0,6","12,1"
Pau Gasol,2010,LAL,C,29,"2403,0","65,0","37,0","11,0","22,9"
Andrei Kirilenko,2010,UTA,SF,28,"1681,0","58,0","29,0","6,0","18,2"
Kevin Garnett,2010,BOS,PF,33,"2060,0","69,0","29,9","7,3","19,4"
Amar'e Stoudemire,2010,PHO,PF,27,"2838,0","82,0","34,6","10,7","22,6"
Gilbert Arenas,2010,WAS,PG,28,"1169,0","32,0","36,5","1,8","18,7"
Vince Carter,2010,ORL,SG,33,"2310,0","75,0","30,8","7,4","17,1"
Zach Randolph,2010,MEM,PF,28,"3051,0","81,0","37,7","9,7","21,2"
Kenyon Martin,2010,DEN,PF,32,"1986,0","58,0","34,2","3,3","13,4"
Carmelo Anthony,2010,DEN,SF,25,"2634,0","69,0","38,2","7,9","22,2"
Dwyane Wade,2010,MIA,SG,28,"2792,0","77,0","36,3","13,0","28,0"
Chris Bosh,2010,TOR,C,25,"2526,0","70,0","36,1","9,6","25,0"
LeBron James,2010,CLE,SF,25,"2966,0","76,0","39,0","18,5","31,1"
Dwight Howard,2010,ORL,C,24,"2843,0","82,0","34,7","13,2","24,0"
