player,season,team,pos,age,salario_millones,ws,ws_por_millon,per,vorp,categoria_valor,nombre_completo,ciudad,latitud,longitud
Kobe Bryant,2010,LAL,SG,31,"23,034375","9,4","0,4080857414190748","21,9","4,4",Valor de mercado,LA Lakers,Los Angeles,"34,043","-118,2673"
Jermaine O'Neal,2010,MIA,C,31,"23,016","5,6","0,24330900243309003","17,9","1,0",Sobrepagado,Miami Heat,Miami,"25,7814","-80,187"
Tracy McGrady,2010,NYK,SG,30,"22,843124","0,3","0,013133054830854134","12,2","0,0",Sobrepagado,New York Knicks,New York,"40,7505","-73,9934"
Tim Duncan,2010,SAS,C,33,"22,18322","10,9","0,4913623901309188","24,7","5,0",Valor de mercado,San Antonio Spurs,San Antonio,"29,427","-98,4375"
Shaquille O'Neal,2010,CLE,C,37,"21,0","3,1","0,14761904761904762","17,9","0,6",Sobrepagado,Cleveland Cavaliers,Cleveland,"41,4965","-81,6882"
Dirk Nowitzki,2010,DAL,PF,31,"19,795714","12,3","0,6213466207887223","22,9","4,7",Valor de mercado,Dallas Mavericks,Dallas,"32,7905","-96,8103"
Paul Pierce,2010,BOS,SF,32,"19,795712","8,3","0,41928272142977224","18,2","3,0",Valor de mercado,Boston Celtics,Boston,"42,3662","-71,0621"
Ray Allen,2010,BOS,SG,34,"18,77686","7,9","0,42073062269197303","15,2","2,3",Valor de mercado,Boston Celtics,Boston,"42,3662","-71,0621"
Rashard Lewis,2010,ORL,PF,30,"18,010791","6,5","0,36089475470566507","14,0","2,3",Valor de mercado,Orlando Magic,Orlando,"28,5392","-81,3839"
Michael Redd,2010,MIL,SG,30,"17,04","0,6","0,035211267605633804","12,1","0,2",Sobrepagado,Milwaukee Bucks,Milwaukee,"43,045","-87,917"
Pau Gasol,2010,LAL,C,29,"16,452","11,0","0,6686117189399464","22,9","4,2",Valor de mercado,LA Lakers,Los Angeles,"34,043","-118,2673"
Andrei Kirilenko,2010,UTA,SF,28,"16,452","6,0","0,3646973012399708","18,2","3,0",Valor de mercado,Utah Jazz,Salt Lake City,"40,7683","-111,9011"
Kevin Garnett,2010,BOS,PF,33,"16,417044","7,3","0,4446598303567926","19,4","2,9",Valor de mercado,Boston Celtics,Boston,"42,3662","-71,0621"
Amar'e Stoudemire,2010,PHO,PF,27,"16,378325","10,7","0,6533024591953084","22,6","2,2",Valor de mercado,Phoenix Suns,Phoenix,"33,4457","-112,0712"
Gilbert Arenas,2010,WAS,PG,28,"16,19208","1,8","0,11116545866868247","18,7","1,1",Sobrepagado,Washington Wizards,Washington,"38,8981","-77,0209"
Vince Carter,2010,ORL,SG,33,"16,12325","7,4","0,45896453878715526","17,1","2,3",Valor de mercado,Orlando Magic,Orlando,"28,5392","-81,3839"
Zach Randolph,2010,MEM,PF,28,"16,0","9,7","0,60625","21,2","2,5",Valor de mercado,Memphis Grizzlies,Memphis,"35,1382","-90,0505"
Kenyon Martin,2010,DEN,PF,32,"15,852511","3,3","0,20816891406036556","13,4","0,6",Sobrepagado,Denver Nuggets,Denver,"39,7487","-105,0077"
Carmelo Anthony,2010,DEN,SF,25,"15,779912","7,9","0,5006365054507276","22,2","2,9",Valor de mercado,Denver Nuggets,Denver,"39,7487","-105,0077"
Dwyane Wade,2010,MIA,SG,28,"15,779912","13,0","0,823832224159425","28,0","7,9",Infravalorado,Miami Heat,Miami,"25,7814","-80,187"
Chris Bosh,2010,TOR,C,25,"15,779912","9,6","0,60836841168696","25,0","3,6",Valor de mercado,Toronto Raptors,Toronto,"43,6435","-79,3791"
LeBron James,2010,CLE,SF,25,"15,779912","18,5","1,1723766266884126","31,1","10,3",Infravalorado,Cleveland Cavaliers,Cleveland,"41,4965","-81,6882"
Dwight Howard,2010,ORL,C,24,"15,20259","13,2","0,868273103464607","24,0","4,6",Infravalorado,Orlando Magic,Orlando,"28,5392","-81,3839"
Joe Johnson,2010,ATL,SG,28,"14,976754","8,4","0,5608691976913022","19,3","3,4",Valor de mercado,Atlanta Hawks,Atlanta,"33,7573","-84,3963"
Elton Brand,2010,PHI,PF,30,"14,858472","3,5","0,23555584988819844","15,7","0,1",Sobrepagado,Philadelphia 76ers,Philadelphia,"39,9012","-75,172"
Richard Jefferson,2010,SAS,SF,29,"14,2","6,0","0,4225352112676057","13,1","1,2",Valor de mercado,San Antonio Spurs,San Antonio,"29,427","-98,4375"
Chris Paul,2010,NOH,PG,24,"13,5205","7,3","0,539920860914907","23,7","3,5",Valor de mercado,New Orleans Hornets,New Orleans,"29,949","-90,0821"
Deron Williams,2010,UTA,PG,25,"13,5205","10,3","0,7618061462224031","20,6","4,1",Infravalorado,Utah Jazz,Salt Lake City,"40,7683","-111,9011"
