player,salario_millones,ws_por_millon,ws,pos,categoria_valor
Andre Iguodala,"3,05","0,52","1,6",SF,Valor de mercado
Andrew Wiggins,"33,3","0,11","3,52",SF,Sobrepagado
Brandin Podziemski,"3,49","1,19","4,15",SG,Infravalorado
Buddy Hield,"8,78","0,32","2,8",SG,Valor de mercado
Chris Paul,"31,72","0,14","4,3",PG,Sobrepagado
Cory Joseph,"3,29","0,06","0,2",PG,Sobrepagado
Damion Lee,"2,18","1,24","2,7",SG,Infravalorado
Donte DiVincenzo,"4,77","0,88","4,2",SG,Infravalorado
Draymond Green,"25,87","0,16","4,04",PF,Sobrepagado
Eric Paschall,"1,85","0,49","0,9",PF,Valor de mercado
Gary Payton II,"7,21","0,83","2,75",PG,Infravalorado
Gui Santos,"1,48","0,78","1,2",PF,Infravalorado
JaMychal Green,"8,69","0,25","2,2",PF,Valor de mercado
James Wiseman,"10,64","0,07","0,7",C,Sobrepagado
Jimmy Butler,"48,8","0,18","8,7",SF,Sobrepagado
Jonathan Kuminga,"6,56","0,47","2,97",PF,Valor de mercado
Jordan Poole,"3,05","1,31","3,7",SG,Infravalorado
Juan Toscano-Anderson,"1,56","1,81","2,5",SG,Infravalorado
Kent Bazemore,"2,83","0,64","1,8",SF,Valor de mercado
Kevon Looney,"7,21","0,76","5,44",C,Infravalorado
Klay Thompson,"43,82","0,06","2,83",SF,Sobrepagado
Moses Moody,"4,48","0,46","2,12",SG,Valor de mercado
Mychal Mulder,"1,85","0,65","1,2",PG,Valor de mercado
Nemanja Bjelica,"2,42","1,24","3,0",C,Infravalorado
Ryan Rollins,"1,08","-0,28","-0,3",PG,Sobrepagado
Stephen Curry,"53,11","0,15","7,98",PG,Sobrepagado
Trayce Jackson-Davis,"1,52","2,98","4,1",PF,Infravalorado
Ty Jerome,"5,01","0,42","2,1",SG,Valor de mercado
